softconfNumber,workshopNumber,title,summary,authors,url,underlineURL,prevAttendees,days,pollNum,startDate,numDays,kind
46,W1,Workshop on Economics and Natural Language Processing (ECONLP),,"Udo Hahn, Veronique Hoste and Amanda Stent",https://lt3.ugent.be/econlp/,https://underline.io/events/192/sessions?eventSessionId=7847,,,,2021-11-11,,Hybrid
54,W2,LAW-DMR: The 15th Linguistic Annotation & 3rd Designing Meaning Representations Joint Workshop,,"Claire Bonial, Nianwen Xue, Adam Meyers and Nancy Ide",https://sigann.github.io/LAW-DMR-2021/,https://underline.io/events/192/sessions?eventSessionId=7848,,,,2021-11-11,,Virtual
59,W3,3rd Workshop on NLP for Conversational AI,,"Alexandros Papangelis, Paweł Budzianowski, Elnaz Nouri, Bing Liu, Abhinav Rastogi and Yun-Nung Chen",https://sites.google.com/view/3rdnlp4convai/,https://underline.io/events/192/sessions?eventSessionId=7849,,,,2021-11-10,,Hybrid
60,W4,Novel Ideas in Learning-to-Learn through Interaction,,"Prasanna Parthasarathi, Koustuv Sinha, Kalesha Bullard, Adina Williams, Marc-Alexandre Côté, Sarath Chandar and Joelle Pineau",https://www.cs.mcgill.ca/~pparth2/nilli_workshop/,https://underline.io/events/192/sessions?eventSessionId=7850,,,,2021-11-10,,Virtual
69,W5,Evaluation & Comparison of NLP Systems,,"Steffen Eger, Yang Gao, Wei Zhao, Piyawat Lertvittayakumjorn and Marina Fomicheva",https://eval4nlp.github.io/,https://underline.io/events/192/sessions?eventSessionId=7851,,,,2021-11-10,,Virtual
9,W6,CI+NLP: First Workshop on Causal Inference and NLP,,"Jacob Eisenstein, Amir Feder, Justin Grimmer, Katherine Keith, Emaad Manzoor, Reid Pryzant, Roi Reichart, Molly Roberts, Uri Shalit, Dhanya Sridhar, Brandon Stewart, Victor Veitch, Zach Wood-Doughty and Diyi Yang",http://causaltext.github.io/,https://underline.io/events/192/sessions?eventSessionId=7852,,,,2021-11-10,,Hybrid
15,W7,7th Workshop on Noisy User-generated Text (W-NUT 2021),,"Wei Xu, Afshin Rahimi, Alan Ritter and Timothy Baldwin", http://noisy-text.github.io/,https://underline.io/events/192/sessions?eventSessionId=7853,,,,2021-11-11,,Virtual
23,W8,"The 5th Joint SIGHUM Workshop on Computational Linguistics for Cultural Heritage, Social Sciences, Humanities and Literature",,"Stefania Degaetano-Ortlieb, Anna Kazantseva, Nils Reiter and Stan Szpakowicz",https://sighum.wordpress.com/events/latech-clfl-2021/,https://underline.io/events/192/sessions?eventSessionId=7854,,,,2021-11-11,,Virtual
40,W9,8th International Workshop on Argument Mining,,"Khalid Al Khatib, Yufang Hou and Manfred Stede",https://2021.argmining.org/,https://underline.io/events/192/sessions?eventSessionId=7855,,,,2021-11-10,2,Hybrid
47,W10,The Second Workshop on Insights from Negative Results in NLP,,"João Sedoc, Anna Rogers, Anna Rumshisky and Shabnam Tafreshi",https://insights-workshop.github.io/,https://underline.io/events/192/sessions?eventSessionId=7857,,,,2021-11-10,,Hybrid
49,W11,Sixth Conference on Machine Translation,,"Barry Haddow, Philipp Koehn, Christof Monz, Ondřej Bojar, Yvette Graham, Matthias Huck and Christian Federmann",http://www.statmt.org/wmt21/,https://underline.io/events/192/sessions?eventSessionId=7858,,,,2021-11-10,2,Virtual
50,W12,The 3rd Workshop on Machine Reading for Question Answering,,"Adam Fisch, Alon Talmor, Danqi Chen, Eunsol Choi, Minjoon Seo, Patrick Lewis, Robin Jia and Sewon Min",https://mrqa.github.io/,https://underline.io/events/192/sessions?eventSessionId=7860,,,,2021-11-10,,Hybrid
70,W13,The 1st Workshop on Multi-lingual Representation Learning (MRL),,"Duygu Ataman, Alexandra Birch, Alexis Conneau, Orhan Firat, Sebastian Ruder and Gözde Gül Şahin",https://sites.google.com/view/mrl-2021,https://underline.io/events/192/sessions?eventSessionId=7861,,,,2021-11-11,,TBD
73,W14,The Fifth Widening NLP Workshop (WiNLP 2021),,"Khyathi Raghavi Chandu, Antonios Anastasopoulos, Erika Doggett, Tirthankar Ghosal, Haley Lepp, Sabrina J. Mielke, Surangika Ranathunga, Alexandra Schofield, Ryan Georgi and Alicia Tsai",http://www.winlp.org/winlp-2021-workshop/,https://underline.io/events/192/sessions?eventSessionId=7862,,,,2021-11-11,,TBD
77,W15,Workshop on Natural Legal Language Processing (NLLP),,"Nikolaos Aletras, Ion Androutsopoulos, Leslie Barrett, Catalina Goanta and Daniel Preotiuc-Pietro",https://nllpw.org/workshop/,https://underline.io/events/192/sessions?eventSessionId=7863,,,,2021-11-10,,TBD
82,W16,2nd Workshop on Computational Approaches to Discourse (CODI),,"Chloé Braud, Christian Hardmeier, Junyi Jessy Li, Annie Louis, Michael Strube and Amir Zeldes",https://sites.google.com/view/codi-2021/accueil,https://underline.io/events/192/sessions?eventSessionId=7864,,,,2021-11-10,2,Hybrid
95,W17,Workshop on Evaluations and Assessments of Neural Conversation Systems,,"Wei Wei, Bo Dai, Tuo Zhao, Lihong Li, Diyi Yang, Yun-Nung Chen, Y-Lan Boureau, Asli Celikyilmaz, Alborz Geramifard, Aman Ahuja, and Haoming Jiang",https://sites.google.com/view/eancs/home,https://underline.io/events/192/sessions?eventSessionId=7866,,,,2021-11-11,,Virtual
96,W18,SustaiNLP 2021: The Second Workshop on Simple and Efficient Natural Language Processing,,"Angela Fan, Iryna Gurevych, Yufang Hou, Zornitsa Kozareva, Ana Marasović, Nafise Sadat Moosavi, Sujith Ravi, and Thomas Wolf",https://sites.google.com/view/sustainlp2021/,https://underline.io/events/192/sessions?eventSessionId=7867,,,,2021-11-10,,Virtual
72,W19,"Fourth Workshop on Computational Models of Reference, Anaphora and Coreference (CRAC 2021)",,"Maciej Ogrodniczuk, Massimo Poesio, Sameer Pradhan, Yulia Grishina and Vincent Ng",https://sites.google.com/view/crac2021/,https://underline.io/events/192/sessions?eventSessionId=7868,,,,2021-11-11,,hybrid
43,W20,Fourth Workshop on Fact Extraction and VERification (FEVER),,"Rami Aly, Oana Cocarascu, Christos Christodoulopoulos, James Thorne, Andreas Vlachos and Arpit Mittal",https://fever.ai/,https://underline.io/events/192/sessions?eventSessionId=7869,,,,2021-11-10,,Virtual
25,W21,Third Workshop on New Frontiers in Summarization,,"Lu Wang, Giuseppe Carenini, Jackie Chi Kit Cheung, Fei Liu and Yue Dong",https://summarization2021.github.io/,https://underline.io/events/192/sessions?eventSessionId=7870,,,,2021-11-10,,Virtual
91,W22,CoNLL 2021,,"Omri Abend, Arianna Bisazza, Afra Alishahi and Julia Hockenmaier",https://www.conll.org/2021,https://underline.io/events/192/sessions?eventSessionId=7871,,,,2021-11-10,2,Virtual
20,W23,BlackboxNLP: Analyzing and interpreting neural networks for NLP,,"Dieuwke Hupkes, Yonatan Belinkov, Emmanuel Dupoux, Jasmijn Bastings, Mario Giulianelli, Yuval Pinter and Hassan Sajjad",https://blackboxnlp.github.io/,,,,,2021-11-11,,Hybrid
